일시,가시리풍력,김녕풍력,동복풍력,신창풍력,행원풍력,풍력전체
2022-01-01,84198.24,1803.96,44870.4,9280.62,50289.96,190443.18
2022-01-02,87253.92,3004.38,107424,7879.14,61820.94,267382.38
2022-01-03,165466.08,1355.76,43056,5874.48,45741.42,261493.74
2022-01-04,124738.56,4157.64,120326.4,10090.26,84647.52,343960.38
2022-01-05,95159.52,873.36,16502.4,14250.6,20419.74,147205.62
2022-01-06,183204,6106.32,222220.8,20064.78,109986,541581.9
2022-01-07,124171.2,834.3,28396.8,6916.68,21668.28,181987.26
2022-01-08,179523.36,4168.26,133257.6,8647.74,101824.56,427421.52
2022-01-09,102013.92,1740.6,49017.6,5801.22,43831.62,202404.96
2022-01-10,123998.4,2709.36,78652.8,5557.68,68888.46,279806.7
2022-01-11,167844.96,2637.18,647395.2,14525.46,171667.68,1004070.48
2022-01-12,121703.04,8074.26,395193.6,10953.36,129177.24,665101.5
2022-01-13,96405.12,935.28,470995.2,11156.76,136966.98,716459.34
2022-01-14,121597.92,3737.88,243360,3319.38,96016.92,468032.1
2022-01-15,26768.16,926.28,20764.8,487.26,14314.44,63260.94
2022-01-16,97783.2,10521.36,316108.8,18114.84,130374.84,572903.04
2022-01-17,157809.6,8912.52,329184,18100.26,133474.98,647481.36
2022-01-18,185008.32,1429.2,189734.4,15784.74,72721.86,464678.52
2022-01-19,124048.8,3536.1,93600,2538.36,41777.94,265501.2
2022-01-20,172656,1739.7,229680,14764.86,85076.34,503916.9
2022-01-21,12058.56,977.76,21484.8,2517.66,26243.7,63282.48
2022-01-22,2528.64,2383.56,123926.4,8539.02,69151.98,206529.6
2022-01-23,49034.88,3457.44,78883.2,8740.26,79223.64,219339.42
2022-01-24,51017.76,8362.44,195724.8,5903.1,127996.38,389004.48
2022-01-25,41947.2,1464.3,22838.4,2865.78,22377.3,91492.98
2022-01-26,166004.64,3516.66,114364.8,14725.26,85882.56,384493.92
2022-01-27,206281.44,5017.68,180921.6,18313.02,134034.18,544567.92
2022-01-28,244290.24,9635.58,239011.2,21102.48,189266.94,703306.44
2022-01-29,183919.68,7950.78,222192,21797.28,157155.72,593015.46
2022-01-30,184824,9318.78,267235.2,21744.36,159386.64,642508.98
2022-01-31,109229.76,5112,142761.6,12026.34,96824.64,365954.34
2022-02-01,106077.6,6495.12,385977.6,16373.7,143177.1,658101.12
2022-02-02,134465.76,5769.54,144201.6,15941.7,93379.74,393758.34
2022-02-03,151256.16,6819.12,176112,21711.24,112001.82,467900.34
2022-02-04,112132.8,11244.6,365356.8,21522.06,147472.26,657728.52
2022-02-05,80722.08,2315.34,593568,21247.38,144674.28,842527.08
2022-02-06,91291.68,5857.2,347040,16151.22,110312.64,570652.74
2022-02-07,116557.92,2644.56,64915.2,15316.92,38162.88,237597.48
2022-02-08,123544.8,4093.92,120211.2,20943.36,46756.8,315550.08
2022-02-09,27031.68,304.2,2332.8,4060.08,3742.44,37471.2
2022-02-10,197624.16,7386.48,191088,17544.78,103703.52,517346.94
2022-02-11,52547.04,412.2,5817.6,5124.24,7692.96,71594.04
2022-02-12,15082.56,1101.06,28166.4,3933.9,14624.7,62908.62
2022-02-13,28713.6,3085.2,92448,8580.6,49050.6,181878
2022-02-14,56335.68,2217.6,72748.8,8698.86,42985.26,182986.2
2022-02-15,134209.44,5481.18,519465.6,19109.52,177734.46,856000.2
2022-02-16,77297.76,5526.54,600451.2,20188.8,168448.32,871912.62
2022-02-17,145569.6,4546.44,350668.8,21388.32,120666.3,642839.46
2022-02-18,13272.48,3704.94,80121.6,2435.04,63776.4,163310.46
