,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,dataset
0,STGCN,0.5982283238102543,block,8,12,linear,50,0.5448307394981384,3765.441296339035,GConvGRU,wikimath
1,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5335234999656677,3570.4290194511414,GConvGRU,wikimath
2,STGCN,0.5982283238102543,block,8,12,linear,50,0.532084047794342,3261.7126655578613,GConvGRU,wikimath
3,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5373964309692383,3733.328402519226,GConvGRU,wikimath
4,STGCN,0.5982283238102543,block,8,12,linear,50,0.5376625657081604,4059.9011816978455,GConvGRU,wikimath
5,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5306951403617859,3814.90105342865,GConvGRU,wikimath
6,STGCN,0.5982283238102543,block,8,12,linear,50,0.538790225982666,2969.5135774612427,GConvGRU,wikimath
7,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5355406999588013,3654.525206565857,GConvGRU,wikimath
8,STGCN,0.5982283238102543,block,8,12,linear,50,0.5354487299919128,2413.2875747680664,GConvGRU,wikimath
9,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5384294390678406,2858.762375354767,GConvGRU,wikimath
10,STGCN,0.5982283238102543,block,8,12,linear,50,0.5435373187065125,2456.376798152924,GConvGRU,wikimath
11,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5427742004394531,3034.8604130744934,GConvGRU,wikimath
12,STGCN,0.5982283238102543,block,8,12,linear,50,0.5477277040481567,2757.152737379074,GConvGRU,wikimath
13,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5374075770378113,3064.5720541477203,GConvGRU,wikimath
14,STGCN,0.5982283238102543,block,8,12,linear,50,0.5397225618362427,3186.469587087631,GConvGRU,wikimath
15,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5349926948547363,4077.965444087982,GConvGRU,wikimath
16,STGCN,0.5982283238102543,block,8,12,linear,50,0.5334793329238892,2749.740308523178,GConvGRU,wikimath
17,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5382494330406189,3694.496536493301,GConvGRU,wikimath
18,STGCN,0.5982283238102543,block,8,12,linear,50,0.5344445705413818,3284.740801334381,GConvGRU,wikimath
19,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5388131737709045,3535.267192363739,GConvGRU,wikimath
20,STGCN,0.5982283238102543,block,8,12,linear,50,0.5357905030250549,3624.2467381954193,GConvGRU,wikimath
21,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5503326654434204,3606.407938480377,GConvGRU,wikimath
22,STGCN,0.5982283238102543,block,8,12,linear,50,0.5347382426261902,3537.6969430446625,GConvGRU,wikimath
23,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5308260321617126,3482.936947822571,GConvGRU,wikimath
24,STGCN,0.5982283238102543,block,8,12,linear,50,0.541244626045227,3232.9391338825226,GConvGRU,wikimath
25,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5314903855323792,2949.773253917694,GConvGRU,wikimath
26,STGCN,0.5982283238102543,block,8,12,linear,50,0.5352694392204285,2624.2401130199432,GConvGRU,wikimath
27,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5393563508987427,3189.910783290863,GConvGRU,wikimath
28,STGCN,0.5982283238102543,block,8,12,linear,50,0.5391072630882263,3165.0501074790955,GConvGRU,wikimath
29,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.53788161277771,4033.162868499756,GConvGRU,wikimath
30,STGCN,0.5982283238102543,block,8,12,linear,50,0.5353856682777405,3232.026303291321,GConvGRU,wikimath
31,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5328517556190491,3068.303236722946,GConvGRU,wikimath
32,STGCN,0.5982283238102543,block,8,12,linear,50,0.5374349355697632,3332.246427297592,GConvGRU,wikimath
33,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.532525897026062,2923.712426900864,GConvGRU,wikimath
34,STGCN,0.5982283238102543,block,8,12,linear,50,0.537021815776825,3664.314581632614,GConvGRU,wikimath
35,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5340735912322998,3476.8202764987946,GConvGRU,wikimath
36,STGCN,0.5982283238102543,block,8,12,linear,50,0.5405233502388,3691.912061929703,GConvGRU,wikimath
37,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5368233323097229,4481.029678106308,GConvGRU,wikimath
38,STGCN,0.5982283238102543,block,8,12,linear,50,0.5395277738571167,3215.247683525085,GConvGRU,wikimath
39,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5449163317680359,2829.1975378990173,GConvGRU,wikimath
40,STGCN,0.5982283238102543,block,8,12,linear,50,0.5332902073860168,3076.4840683937077,GConvGRU,wikimath
41,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5439453125,4326.169137477875,GConvGRU,wikimath
42,STGCN,0.5982283238102543,block,8,12,linear,50,0.5414476990699768,4395.407955169678,GConvGRU,wikimath
43,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5368392467498779,3944.3431389331818,GConvGRU,wikimath
44,STGCN,0.5982283238102543,block,8,12,linear,50,0.5298093557357788,4010.132276296616,GConvGRU,wikimath
45,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5340104699134827,4668.437291383743,GConvGRU,wikimath
46,STGCN,0.5982283238102543,block,8,12,linear,50,0.5339002013206482,4634.765904903412,GConvGRU,wikimath
47,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5377575755119324,4715.48202085495,GConvGRU,wikimath
48,STGCN,0.5982283238102543,block,8,12,linear,50,0.5344496965408325,4022.553421974182,GConvGRU,wikimath
49,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5386272668838501,6533.259805440903,GConvGRU,wikimath
50,STGCN,0.5982283238102543,block,8,12,linear,50,0.5299217700958252,6935.188676595688,GConvGRU,wikimath
51,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5373907089233398,6859.790335893631,GConvGRU,wikimath
52,STGCN,0.5982283238102543,block,8,12,linear,50,0.5349045395851135,6215.125116825104,GConvGRU,wikimath
53,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5330087542533875,6829.931849718094,GConvGRU,wikimath
54,STGCN,0.5982283238102543,block,8,12,linear,50,0.5376959443092346,5905.995974779129,GConvGRU,wikimath
55,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5419579148292542,6818.426837205887,GConvGRU,wikimath
56,STGCN,0.5982283238102543,block,8,12,linear,50,0.5327850580215454,6041.363303184509,GConvGRU,wikimath
57,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5295612812042236,5805.215124368668,GConvGRU,wikimath
58,STGCN,0.5982283238102543,block,8,12,linear,50,0.5379961133003235,5478.499530553818,GConvGRU,wikimath
59,IT-STGCN,0.5982283238102543,block,8,12,linear,50,0.5377877950668335,5686.295603752136,GConvGRU,wikimath
0,STGCN,0.5982283238102543,block,8,64,linear,50,0.6137758493423462,1000.9892361164092,GConvLSTM,wikimath
1,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6038950085639954,4494.885707139969,GConvLSTM,wikimath
2,STGCN,0.5982283238102543,block,8,64,linear,50,0.635948896408081,6094.876711606979,GConvLSTM,wikimath
3,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6499223709106445,6090.242830038071,GConvLSTM,wikimath
4,STGCN,0.5982283238102543,block,8,64,linear,50,0.6633976101875305,7174.124665260315,GConvLSTM,wikimath
5,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6080234050750732,6999.235897302628,GConvLSTM,wikimath
6,STGCN,0.5982283238102543,block,8,64,linear,50,0.6533591747283936,6392.944879293442,GConvLSTM,wikimath
7,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.623275637626648,7243.072738647461,GConvLSTM,wikimath
8,STGCN,0.5982283238102543,block,8,64,linear,50,0.6537124514579773,6162.46901845932,GConvLSTM,wikimath
9,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6866987943649292,4892.582505226135,GConvLSTM,wikimath
10,STGCN,0.5982283238102543,block,8,64,linear,50,0.6150932312011719,6097.536830663681,GConvLSTM,wikimath
11,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6131176948547363,6790.063568353653,GConvLSTM,wikimath
12,STGCN,0.5982283238102543,block,8,64,linear,50,0.6201149225234985,7172.091160535812,GConvLSTM,wikimath
13,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.594895601272583,8363.831594228745,GConvLSTM,wikimath
14,STGCN,0.5982283238102543,block,8,64,linear,50,0.6553167104721069,6082.949677705765,GConvLSTM,wikimath
15,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6265034675598145,7131.2546916008,GConvLSTM,wikimath
16,STGCN,0.5982283238102543,block,8,64,linear,50,0.6684300303459167,4753.834707736969,GConvLSTM,wikimath
17,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6218711733818054,5657.130280017853,GConvLSTM,wikimath
18,STGCN,0.5982283238102543,block,8,64,linear,50,0.6579048037528992,6289.231708526611,GConvLSTM,wikimath
19,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6027286052703857,6311.355168104172,GConvLSTM,wikimath
20,STGCN,0.5982283238102543,block,8,64,linear,50,0.6677933931350708,6536.390931844711,GConvLSTM,wikimath
21,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6415535807609558,7206.999554872513,GConvLSTM,wikimath
22,STGCN,0.5982283238102543,block,8,64,linear,50,0.6338551044464111,6316.125990867615,GConvLSTM,wikimath
23,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6487956047058105,6131.5828449726105,GConvLSTM,wikimath
24,STGCN,0.5982283238102543,block,8,64,linear,50,0.6470958590507507,4804.934129714966,GConvLSTM,wikimath
25,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6211177706718445,7994.535216808319,GConvLSTM,wikimath
26,STGCN,0.5982283238102543,block,8,64,linear,50,0.6188585758209229,7755.367165565491,GConvLSTM,wikimath
27,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6357630491256714,6625.586465835571,GConvLSTM,wikimath
28,STGCN,0.5982283238102543,block,8,64,linear,50,0.6494899988174438,6247.741466760635,GConvLSTM,wikimath
29,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6056140065193176,8231.649150133133,GConvLSTM,wikimath
30,STGCN,0.5982283238102543,block,8,64,linear,50,0.646112859249115,6932.48123550415,GConvLSTM,wikimath
31,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6441020369529724,4989.134647846222,GConvLSTM,wikimath
32,STGCN,0.5982283238102543,block,8,64,linear,50,0.6180686950683594,7846.0368530750275,GConvLSTM,wikimath
33,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6330696940422058,6957.863897323608,GConvLSTM,wikimath
34,STGCN,0.5982283238102543,block,8,64,linear,50,0.6417778730392456,5733.460386991501,GConvLSTM,wikimath
35,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.670944333076477,6404.244891166687,GConvLSTM,wikimath
36,STGCN,0.5982283238102543,block,8,64,linear,50,0.6115797758102417,6115.012172222137,GConvLSTM,wikimath
37,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.7029805183410645,7162.106476545334,GConvLSTM,wikimath
38,STGCN,0.5982283238102543,block,8,64,linear,50,0.6250272393226624,6767.8576781749725,GConvLSTM,wikimath
39,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.614530086517334,5683.252571344376,GConvLSTM,wikimath
40,STGCN,0.5982283238102543,block,8,64,linear,50,0.638485312461853,5976.284613609314,GConvLSTM,wikimath
41,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6228564381599426,8879.422105073929,GConvLSTM,wikimath
42,STGCN,0.5982283238102543,block,8,64,linear,50,0.6257429718971252,6937.233517885208,GConvLSTM,wikimath
43,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.5973669290542603,6068.383151769638,GConvLSTM,wikimath
44,STGCN,0.5982283238102543,block,8,64,linear,50,0.6220154762268066,6215.191809892654,GConvLSTM,wikimath
45,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6483227610588074,6951.151559829712,GConvLSTM,wikimath
46,STGCN,0.5982283238102543,block,8,64,linear,50,0.6198629140853882,5555.101579427719,GConvLSTM,wikimath
47,IT-STGCN,0.5982283238102543,block,8,64,linear,50,0.6338395476341248,6861.159117698669,GConvLSTM,wikimath
